NUTS level,NUTS code,Region name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
NUTS3,UKD73,Sefton,3272,3332,3413,3412,3334,3454,3550,3650,3791,3847,3974,4049,4283,4335,4374,4552,4689,4724,4936,4987,5163,5384
NUTS3,UKD74,Wirral,3294,3363,3512,3729,3819,3996,4143,4189,4271,4349,4595,4726,4926,5006,5036,5243,5403,5545,5697,5726,5892,6157
NUTS1,UKE,Yorkshire and The Humber,47922,49317,51707,54477,56136,58124,60014,62297,64694,67202,70505,71875,74051,74963,76986,79725,82013,84566,88579,89307,92171,96796
NUTS2,UKE1,East Yorkshire and Northern Lincolnshire,8112,8315,8811,9229,9448,9839,10215,10667,11080,11474,12015,12211,12529,12693,13144,13498,13662,14036,14674,14824,15314,16060
NUTS3,UKE11,"Kingston upon Hull, City of",1946,1998,2100,2273,2366,2433,2454,2522,2600,2627,2730,2818,2938,2965,3059,3151,3198,3308,3428,3487,3562,3657
NUTS3,UKE12,East Riding of Yorkshire,3284,3350,3652,3777,3793,3996,4205,4441,4673,4891,5069,5149,5302,5379,5533,5665,5738,5892,6231,6247,6495,6911
NUTS3,UKE13,North and North East Lincolnshire,2882,2967,3058,3180,3290,3410,3556,3704,3807,3955,4216,4245,4289,4349,4552,4681,4726,4836,5014,5090,5258,5491
NUTS2,UKE2,North Yorkshire,8312,8844,9158,9379,9788,10267,10620,10897,11558,12264,12834,13151,13746,13746,14131,14759,15131,15435,16303,16386,16860,17888
NUTS3,UKE21,York,1837,1970,2122,2209,2331,2440,2488,2453,2536,2672,2842,2873,3005,3056,3145,3312,3427,3580,3760,3786,3942,4151
NUTS3,UKE22,North Yorkshire CC,6475,6873,7036,7169,7456,7827,8132,8443,9021,9593,9992,10278,10741,10690,10986,11447,11704,11855,12543,12600,12918,13737
NUTS2,UKE3,South Yorkshire,11464,11698,12336,13027,13539,13955,14394,14979,15434,15918,16581,16911,17500,17790,18269,18976,19558,20382,21162,21378,22103,23206
NUTS3,UKE31,"Barnsley, Doncaster and Rotherham",6634,6787,7181,7639,7898,8130,8433,8678,9014,9371,9838,9957,10257,10492,10841,11280,11674,12158,12598,12725,13140,13782
NUTS3,UKE32,Sheffield,4830,4911,5155,5389,5641,5825,5961,6302,6420,6547,6743,6954,7243,7297,7428,7696,7884,8224,8564,8652,8963,9424
NUTS2,UKE4,West Yorkshire,20033,20461,21402,22842,23361,24063,24786,25754,26622,27546,29076,29602,30275,30734,31442,32493,33662,34713,36441,36719,37894,39643
NUTS3,UKE41,Bradford,4373,4424,4637,4944,4944,5109,5206,5472,5598,5772,6083,6238,6418,6473,6613,6827,7083,7350,7685,7701,7912,8229
NUTS3,UKE42,Leeds,7284,7404,7735,8291,8547,8761,8969,9193,9551,9866,10415,10643,10839,11005,11333,11666,12059,12404,13030,13231,13714,14392
NUTS3,UKE44,Calderdale and Kirklees,5468,5625,5890,6263,6429,6621,6879,7197,7446,7730,8165,8278,8481,8628,8853,9204,9557,9854,10347,10331,10593,11110
NUTS3,UKE45,Wakefield,2909,3008,3141,3343,3441,3572,3732,3891,4027,4178,4412,4443,4537,4628,4642,4796,4963,5105,5378,5456,5676,5912
NUTS1,UKF,East Midlands,40635,41634,43706,45987,47880,49603,51859,54173,56420,58737,62713,64013,65479,66169,68176,71021,73478,76247,80276,81088,84165,87804
