NUTS level,NUTS code,Region name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
NUTS3,UKD73,Sefton,11423,11686,12010,12043,11787,12297,12682,13089,13687,13947,14445,14739,15621,15831,15965,16625,17152,17249,18011,18146,18803,19551
NUTS3,UKD74,Wirral,10282,10554,11079,11781,12125,12684,13136,13291,13562,13791,14557,14923,15501,15690,15746,16364,16849,17248,17708,17772,18252,19048
NUTS1,UKE,Yorkshire and The Humber,9666,9948,10433,10986,11280,11625,11940,12304,12664,13090,13653,13826,14177,14266,14558,14995,15364,15777,16433,16461,16912,17665
NUTS2,UKE1,East Yorkshire and Northern Lincolnshire,9238,9485,10070,10561,10790,11176,11515,11919,12300,12694,13232,13383,13722,13869,14317,14655,14818,15193,15861,15966,16469,17230
NUTS3,UKE11,"Kingston upon Hull, City of",7432,7691,8208,9009,9466,9752,9791,9967,10190,10284,10673,10974,11474,11573,11944,12261,12434,12852,13257,13410,13663,14032
NUTS3,UKE12,East Riding of Yorkshire,10751,10918,11814,12123,12046,12542,13063,13660,14278,14885,15322,15487,15933,16125,16533,16866,17073,17472,18503,18494,19211,20350
NUTS3,UKE13,North and North East Lincolnshire,9272,9568,9867,10254,10581,10920,11305,11692,11958,12369,13117,13132,13228,13363,13909,14266,14378,14687,15204,15393,15879,16549
NUTS2,UKE2,North Yorkshire,11379,12042,12390,12594,13026,13594,13971,14214,14967,15799,16432,16737,17427,17310,17686,18378,18754,19094,20082,20069,20566,21698
NUTS3,UKE21,York,10500,11178,11981,12336,12860,13399,13523,13145,13476,14137,14975,15060,15618,15667,15903,16594,16955,17578,18272,18297,18937,19777
NUTS3,UKE22,North Yorkshire CC,11656,12315,12519,12676,13079,13656,14114,14559,15447,16333,16900,17275,18011,17845,18273,18968,19355,19604,20697,20671,21120,22354
NUTS2,UKE3,South Yorkshire,8983,9185,9714,10288,10691,10977,11276,11671,11935,12248,12693,12855,13219,13347,13595,14032,14396,14920,15386,15431,15862,16541
NUTS3,UKE31,"Barnsley, Doncaster and Rotherham",8744,8977,9529,10161,10484,10738,11079,11361,11745,12138,12671,12742,13059,13311,13687,14187,14624,15147,15625,15684,16110,16799
NUTS3,UKE32,Sheffield,9333,9489,9984,10473,10994,11329,11567,12127,12211,12408,12725,13021,13453,13399,13462,13809,14073,14596,15046,15073,15512,16179
NUTS2,UKE4,West Yorkshire,9665,9870,10328,11015,11215,11496,11788,12158,12428,12787,13406,13548,13777,13891,14116,14503,14957,15348,15998,16000,16426,17086
NUTS3,UKE41,Bradford,9320,9454,9931,10584,10503,10752,10864,11291,11393,11646,12133,12296,12526,12496,12642,13019,13467,13931,14503,14461,14794,15319
NUTS3,UKE42,Leeds,10168,10342,10819,11623,11944,12230,12499,12715,12994,13401,14102,14351,14571,14721,15098,15400,15848,16206,16852,16940,17473,18236
NUTS3,UKE44,Calderdale and Kirklees,9508,9768,10217,10820,11059,11311,11689,12147,12472,12840,13446,13509,13749,13885,14116,14597,15076,15469,16150,16035,16382,17124
NUTS3,UKE45,Wakefield,9318,9599,10004,10636,10909,11294,11756,12235,12634,13042,13717,13742,13982,14215,14222,14626,15047,15389,16101,16184,16655,17135
NUTS1,UKF,East Midlands,9862,10074,10525,11033,11428,11749,12188,12623,13033,13451,14237,14414,14643,14681,15025,15548,15979,16442,17162,17160,17638,18277
NUTS2,UKF1,Derbyshire and Nottinghamshire,9388,9674,10172,10614,11064,11430,11839,12270,12601,13053,13784,13992,14234,14168,14402,14923,15422,15881,16642,16670,17036,17651
NUTS3,UKF11,Derby,9314,9418,9852,9929,10367,10800,11044,11457,11477,12200,12530,12437,13070,12725,12748,13480,13924,14590,15102,15080,15406,15964
NUTS3,UKF12,East Derbyshire,8634,8929,9551,9968,10716,11033,11196,11558,11944,12548,13246,13208,13399,13426,13731,14243,14553,14927,15833,15624,16025,16731
NUTS3,UKF13,South and West Derbyshire,9662,9929,10482,11018,11406,11830,12665,13247,13802,14291,15036,15310,15474,15523,16157,16671,17416,17760,18878,19062,19392,20195
NUTS3,UKF14,Nottingham,8310,8563,9009,9404,9557,9747,9850,9745,9943,10165,10641,10841,10853,10860,10920,11200,11815,12107,12594,12782,12996,13138
NUTS3,UKF15,North Nottinghamshire,9057,9458,9864,10517,10884,11300,11625,12251,12551,12806,13713,14012,14342,14280,14385,14787,15077,15649,16484,16407,16752,17596
NUTS3,UKF16,South Nottinghamshire,11034,11336,11852,12195,12838,13201,13702,14212,14589,15133,16162,16595,16822,16684,16795,17594,18103,18665,19160,19245,19855,20283
NUTS2,UKF2,"Leicestershire, Rutland and Northamptonshire",10395,10499,10929,11550,11893,12177,12627,13067,13500,13943,14789,14858,15039,15126,15570,16123,16524,16995,17764,17731,18310,18957
NUTS3,UKF21,Leicester,8383,8184,8639,9183,9448,9731,9930,10156,10155,10360,10846,10704,11009,11260,11329,11768,12011,12305,12698,12894,13126,13269
NUTS3,UKF22,Leicestershire CC and Rutland,11110,11315,11723,12236,12563,12956,13548,14072,14547,14927,15703,15811,16137,16247,16603,17091,17429,17905,18665,18482,19072,19752
NUTS3,UKF24,West Northamptonshire,10903,11044,11496,12323,12751,12919,13280,13724,14307,14945,16118,16161,16095,16154,17178,17910,18395,18979,19987,20082,20894,21774
NUTS3,UKF25,North Northamptonshire,10256,10407,10774,11436,11762,11941,12443,12941,13594,14209,15205,15458,15520,15460,15824,16427,17028,17544,18470,18386,19024,19830
NUTS2,UKF3,Lincolnshire,10059,10298,10645,11076,11423,11697,12195,12630,13215,13467,14265,14600,14906,15135,15562,16016,16309,16761,17239,17211,17770,18446
NUTS3,UKF30,Lincolnshire,10059,10298,10645,11076,11423,11697,12195,12630,13215,13467,14265,14600,14906,15135,15562,16016,16309,16761,17239,17211,17770,18446
NUTS1,UKG,West Midlands,9866,10192,10581,11155,11523,11839,12096,12491,12760,13213,13614,13967,14280,14441,14685,15097,15559,16086,16829,17086,17409,18222
NUTS2,UKG1,"Herefordshire, Worcestershire and Warwickshire",11207,11682,12066,12707,13203,13630,13994,14562,15034,15715,16081,16557,16886,16929,17324,17854,18504,19169,20291,20830,21075,22094
NUTS3,UKG11,"Herefordshire, County of",10196,10635,10895,11499,12078,12469,12950,13540,13938,14763,15094,15659,16160,16565,17084,17450,18062,18295,19189,19301,19455,20478
NUTS3,UKG12,Worcestershire,11152,11742,12052,12487,12965,13449,13671,14359,15033,15799,15974,16340,16646,16547,16891,17391,18046,18693,19707,19999,20338,21468
NUTS3,UKG13,Warwickshire,11609,11977,12483,13361,13848,14220,14694,15124,15406,15948,16525,17085,17380,17447,17854,18471,19132,19963,21274,22215,22391,23285
NUTS2,UKG2,Shropshire and Staffordshire,10016,10375,10768,11207,11536,11874,12253,12563,12971,13529,14054,14522,14816,14957,15212,15640,16120,16580,17405,17532,17995,18841
NUTS3,UKG21,Telford and Wrekin,10129,10292,10548,10470,10334,10791,11344,11887,11896,12410,12961,13123,13424,13733,14255,14778,15093,15477,16186,16455,16701,17033
NUTS3,UKG22,Shropshire CC,10739,11319,11493,11905,12138,12526,13023,13566,13851,14654,15117,15939,16440,16457,16763,17096,17454,17922,18924,19295,19958,20851
NUTS3,UKG23,Stoke-on-Trent,8294,8393,8989,9385,9419,9592,9848,10145,10743,10886,11477,11627,11889,12067,12397,12784,13235,13521,14014,14193,14624,15485
NUTS3,UKG24,Staffordshire CC,10279,10670,11098,11653,12191,12533,12869,13055,13525,14125,14642,15136,15361,15503,15663,16121,16683,17205,18088,18086,18530,19454
NUTS2,UKG3,West Midlands,9160,9392,9778,10392,10715,10963,11097,11457,11548,11826,12169,12399,12722,12959,13133,13487,13855,14360,14888,15100,15380,16078
NUTS3,UKG31,Birmingham,8831,9055,9423,10065,10347,10568,10702,11041,11075,11435,11714,11950,12204,12473,12606,12911,13179,13733,14205,14362,14519,15281
NUTS3,UKG32,Solihull,12144,12483,13035,13947,15134,15619,15831,16158,16563,16782,17278,17541,17724,17829,18356,18949,19994,20703,22016,22255,22762,24146
NUTS3,UKG33,Coventry,9039,9076,9477,10315,10700,11029,11057,11554,11508,11683,12340,12587,12944,13186,13356,13577,13868,14156,14433,14646,14987,15353
NUTS3,UKG36,Dudley,9666,9935,10327,10843,10997,11150,11345,11810,11977,12326,12599,12747,13286,13642,13821,14364,14777,15209,15795,16076,16307,16881
NUTS3,UKG37,Sandwell,8222,8425,8799,9287,9473,9672,9842,10197,10325,10528,10759,10932,11288,11510,11704,12081,12292,12820,13376,13576,13814,14407
NUTS3,UKG38,Walsall,8895,9216,9536,9948,10108,10384,10479,10752,10848,11043,11351,11604,12001,12184,12362,12728,13200,13769,14243,14513,15011,15598
NUTS3,UKG39,Wolverhampton,8950,9254,9641,10092,10324,10542,10669,10952,11069,11284,11659,11975,12307,12468,12536,12812,13173,13600,14057,14399,14842,15570
NUTS1,UKH,East of England,11378,11589,12085,12846,13355,13769,13992,14396,14980,15439,16120,16645,17112,17206,17405,18062,18655,19230,20209,20547,21161,22205
NUTS2,UKH1,East Anglia,10424,10628,11067,11793,12219,12600,12770,13185,13821,14176,14820,15396,15796,16022,16210,16864,17333,17882,18702,18952,19426,20336
NUTS3,UKH11,Peterborough,9916,10183,10972,11684,11917,12158,12143,12248,12647,13300,13945,14100,14115,14361,14478,14929,15375,16099,16727,17040,17461,17968
NUTS3,UKH12,Cambridgeshire CC,11478,11842,12556,13175,13351,13955,13959,14588,15579,16226,16814,17173,17506,17607,17648,18415,19213,20106,20947,21452,22112,23413
NUTS3,UKH14,Suffolk,10198,10301,10639,11599,12131,12530,12779,13241,13784,14125,14694,15525,16057,16132,16222,16893,17322,17758,18660,18992,19515,20381
NUTS3,UKH15,Norwich and East Norfolk,10054,10205,10483,11054,11553,11796,12032,12296,12733,12781,13515,14100,14474,14865,15268,15833,16197,16493,17367,16946,17188,17907
NUTS3,UKH16,North and West Norfolk,9520,9679,10007,10629,11242,11532,11787,12060,12638,12737,13464,14134,14779,15328,15741,16385,16715,17068,17702,17826,18204,18961
NUTS3,UKH17,Breckland and South Norfolk,10362,10549,10725,11365,11911,12087,12340,12676,13208,13377,14152,14704,14956,15342,15693,16304,16402,16837,17631,18054,18399,19216
NUTS2,UKH2,Bedfordshire and Hertfordshire,12437,12732,13116,14091,14677,15079,15348,15724,16283,16949,17765,18172,18697,18734,18869,19606,20489,21192,22283,22669,23419,24581
NUTS3,UKH21,Luton,9269,8884,9393,9995,10567,10957,11234,11510,11732,11855,12220,12379,12624,12894,13033,13463,13713,14225,14600,15371,16118,16257
NUTS3,UKH23,Hertfordshire,13222,13738,14031,15189,15954,16273,16577,16969,17545,18369,19375,19778,20368,20256,20379,21257,22337,23184,24457,24769,25602,27072
NUTS3,UKH24,Bedford,11422,11415,11930,12488,12521,13072,13263,13671,14372,14899,15483,16060,16571,16897,17212,17567,18032,18565,19743,20234,21006,21986
NUTS3,UKH25,Central Bedfordshire,12116,12172,12776,13501,13660,14326,14469,14815,15462,15952,16447,16947,17429,17816,17926,18537,19326,19685,20560,20923,21275,22037
NUTS2,UKH3,Essex,11620,11759,12439,13035,13576,14049,14310,14737,15283,15681,16280,16850,17346,17316,17589,18165,18628,19101,20181,20579,21256,22366
NUTS3,UKH31,Southend-on-Sea,10642,10933,11539,12292,12935,13477,13809,13862,14246,14614,15134,15391,15900,16195,16312,16783,17392,17896,18900,19181,19770,21064
NUTS3,UKH32,Thurrock,10141,10217,10546,10748,11165,11862,12320,12646,13038,13425,14028,14513,14924,15135,15243,15652,16010,16710,17369,17922,18408,18976
NUTS3,UKH34,Essex Haven Gateway,10132,10311,11049,11611,12136,12626,12867,13347,13888,14244,14812,15384,16002,15941,16296,16857,17401,17742,18495,18799,19314,20196
NUTS3,UKH35,West Essex,13392,13543,14242,15005,15502,15881,16064,16702,17519,17935,18614,19327,19568,19330,19766,20498,20978,21445,23427,23660,24572,26039
NUTS3,UKH36,Heart of Essex,13632,13687,14471,15166,15727,16132,16336,16730,17286,17778,18435,19105,19584,19481,19676,20338,20856,21632,22781,23445,24328,25752
NUTS3,UKH37,Essex Thames Gateway,11450,11567,12261,12778,13370,13834,14118,14561,15047,15431,16000,16568,17152,17126,17383,17905,18166,18438,19386,19820,20470,21486
NUTS1,UKI,London,13121,13584,14444,15614,16119,16419,17051,17918,19008,19919,21402,22053,21922,22105,22030,23415,24641,25661,27277,27649,27923,29362
NUTS2,UKI3,Inner London - West,20600,21675,23134,25446,25577,25366,25963,27680,30148,32886,36763,39239,39314,38111,36948,39839,43927,46444,48767,48790,48866,51397
NUTS3,UKI31,Camden and City of London,18304,20364,21571,23812,23809,23803,24396,26012,28905,31701,35367,38559,38500,36990,35703,38406,41907,43141,45427,45999,45061,47401
NUTS3,UKI32,Westminster,20968,21901,23758,26048,26327,26116,26646,28368,30510,33444,37497,40459,41385,40467,39808,42855,47363,49849,53240,53336,53884,54847
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,27764,27820,28899,31180,30840,30334,31088,33100,35603,38887,43455,46346,46151,44865,43712,47605,53166,56946,59387,58389,58817,63286
NUTS3,UKI34,Wandsworth,13863,15435,17124,19412,19960,19932,20403,21862,24239,26260,29464,30635,30600,29625,28337,30225,32990,35234,36727,37486,37713,39573
NUTS2,UKI4,Inner London - East,10759,11133,12024,13090,13478,13804,14329,15147,16225,17275,18463,18824,18852,19425,19457,20537,21287,22178,23731,24194,24533,25824
NUTS3,UKI41,Hackney and Newham,6347,6969,7749,8829,9367,9753,10339,11190,12373,13431,14461,14777,15009,15263,15339,16207,17182,17851,19082,19784,20144,21118
NUTS3,UKI42,Tower Hamlets,13085,13313,14068,15130,15537,15683,16174,16895,17972,18862,19873,20231,20202,20538,20417,21245,21779,22294,23600,24478,24544,25949
NUTS3,UKI43,Haringey and Islington,15207,15439,16612,17815,18133,18476,18876,19761,20812,22086,23625,24049,23820,24407,24580,26019,26400,27484,29004,28487,28890,30494
NUTS3,UKI44,Lewisham and Southwark,9960,10353,11174,12145,12513,12876,13470,14276,15292,16247,17352,17675,17787,18729,18679,19748,20592,21630,22992,23444,23933,25046
NUTS3,UKI45,Lambeth,11074,11370,12389,13491,13809,14109,14608,15322,16325,17343,18617,19072,19035,19776,19863,21044,21952,23038,25862,27083,27310,29003
NUTS2,UKI5,Outer London - East and North East,11304,11547,12065,12818,13551,13862,14394,14986,15514,15886,16887,17267,17217,17474,17526,18538,19035,19615,20780,21300,21664,22654
NUTS3,UKI51,Bexley and Greenwich,12771,12843,13420,14103,14753,15020,15491,16012,16438,16828,17795,18172,18187,18476,18467,19293,19760,20457,21354,22131,22501,23558
NUTS3,UKI52,Barking & Dagenham and Havering,10287,10635,11113,11808,12546,12900,13484,14066,14562,14920,15904,16340,16313,16521,16674,17611,18045,18337,19228,19631,19722,20673
NUTS3,UKI53,Redbridge and Waltham Forest,11026,11249,11823,12601,13392,13785,14309,14916,15494,15820,16778,17053,16932,17243,17278,18436,18986,19609,21139,21558,22300,23437
NUTS3,UKI54,Enfield,10899,11292,11692,12589,13340,13511,14068,14749,15393,15829,16981,17471,17421,17610,17644,18795,19335,20059,21394,21860,21954,22635
NUTS2,UKI6,Outer London - South,12965,13369,14162,15210,15688,16079,16887,17839,18701,19220,20359,20688,20360,20788,21117,22333,23135,23758,25162,25619,25711,27126
NUTS3,UKI61,Bromley,13902,14472,15261,16383,16879,17255,18147,19261,20178,20763,21922,22195,21789,22268,22797,24152,24778,25872,27423,27954,28240,29510
NUTS3,UKI62,Croydon,10214,10605,11418,12347,12999,13454,14227,15058,15837,16340,17406,17680,17593,17821,18073,19104,19782,20149,21442,21869,22315,23759
NUTS3,UKI63,"Merton, Kingston upon Thames and Sutton",14237,14557,15311,16392,16738,17098,17886,18826,19709,20196,21379,21786,21347,21895,22182,23444,24428,24950,26337,26773,26522,27994
NUTS2,UKI7,Outer London - West and North West,13183,13672,14457,15447,15991,16468,17193,17773,18654,19145,20304,20842,20579,21028,21148,22526,23669,24680,26482,26824,27151,28391
NUTS3,UKI71,Barnet,12621,13337,14019,15213,15713,16241,16997,17711,18790,19443,20840,21448,20983,21545,21766,23278,24198,25575,28061,28702,29190,30826
NUTS3,UKI72,Brent,10766,11240,12110,12926,13479,14036,14747,15311,16258,16696,17640,18141,18202,18487,18603,19985,21204,22252,23663,23822,23892,25102
NUTS3,UKI73,Ealing,12923,13277,13990,14869,15369,15813,16579,17043,17822,18228,19261,19822,19631,20247,20308,21801,23259,24499,26300,26668,27123,28226
NUTS3,UKI74,Harrow and Hillingdon,11471,12072,12873,13789,14463,14985,15724,16309,17127,17500,18603,19082,18798,19197,19316,20523,21515,22072,23490,23875,24405,25442
NUTS3,UKI75,Hounslow and Richmond upon Thames,17484,17787,18607,19762,20229,20579,21222,21756,22568,23176,24461,25059,24719,25118,25222,26596,27795,28842,30827,30987,31037,32297
NUTS1,UKJ,South East,12933,13191,13644,14498,14897,15343,15501,16051,16688,17453,18304,18692,19000,19105,19381,20106,20838,21364,22506,22784,23355,24318
NUTS2,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",13669,13938,14387,15387,15697,16146,16341,16885,17448,18422,19364,19780,19999,19941,20235,20984,21707,22378,23726,24082,24669,25819
NUTS3,UKJ11,Berkshire,13758,14030,14438,15492,15612,16076,16348,16695,17344,18058,19298,19665,19683,19637,20019,20800,21652,22134,23309,23762,24168,25067
NUTS3,UKJ12,Milton Keynes,11135,11324,11693,12381,12706,13449,13747,14478,15026,15514,16311,16716,16687,17066,17183,17521,17916,18415,19579,19986,20752,21717
NUTS3,UKJ13,Buckinghamshire CC,15095,15428,16042,17028,17701,18042,18169,18843,19494,20934,21862,22383,22884,22791,22991,23682,24382,25309,26808,27414,28256,30079
NUTS3,UKJ14,Oxfordshire,13270,13526,13938,14998,15277,15702,15822,16461,16862,17993,18620,19038,19414,19222,19554,20465,21168,21960,23486,23498,24054,25071
NUTS2,UKJ2,"Surrey, East and West Sussex",13991,14432,14900,15700,16117,16576,16719,17245,18146,19054,19890,20211,20406,20629,20923,21740,22681,23179,24420,24678,25270,26295
NUTS3,UKJ21,Brighton and Hove,12040,12121,12610,13451,13908,14493,14650,15240,16031,16272,16894,17435,17933,17810,18043,18463,19110,19563,20682,20902,21722,22437
NUTS3,UKJ22,East Sussex CC,11816,12036,12526,13196,13694,14029,14272,14594,15213,15869,17039,17527,17847,18462,18411,18923,19810,20095,20987,21551,22053,22881
NUTS3,UKJ25,West Surrey,16276,16936,17580,18337,18642,19197,19236,19865,20977,22356,23184,23473,23638,23740,24120,25262,26502,27261,28806,28823,29389,30748
NUTS3,UKJ26,East Surrey,15836,16625,17157,17958,18209,18803,18913,19482,20754,22215,23089,23291,23100,23178,23640,24766,25707,26295,27979,28105,28638,29971
NUTS3,UKJ27,West Sussex (South West),11472,12024,12241,13144,13768,14134,14347,14866,15672,16296,16978,17244,17562,17886,18356,19047,19838,20178,21387,21673,22263,23276
NUTS3,UKJ28,West Sussex (North East),14872,14980,15233,16184,16617,16985,17160,17720,18420,18966,19602,19783,19865,20042,20313,21035,21827,22238,23071,23529,24210,24809
NUTS2,UKJ3,Hampshire and Isle of Wight,11747,11906,12317,13117,13563,14026,14173,14722,15166,15701,16547,17016,17471,17552,17816,18514,19075,19490,20480,20663,21229,22095
NUTS3,UKJ31,Portsmouth,9375,9431,10000,10802,10765,11194,11325,11361,11379,11584,12225,12600,13173,13221,13310,13433,13990,14328,15259,15519,15785,16297
NUTS3,UKJ32,Southampton,9619,9540,9672,10291,10616,11040,11183,11566,11706,12233,12958,13157,13482,13525,13707,14002,14384,14712,15189,15633,16131,16994
NUTS3,UKJ34,Isle of Wight,9852,10071,10339,10847,11601,11852,12036,12550,13207,13818,14493,14862,15602,15953,16175,16375,16695,16810,17270,17391,17856,18366
NUTS3,UKJ35,South Hampshire,10804,11025,11486,12127,12701,13294,13493,14083,14585,15062,15860,16342,16885,16998,17278,18161,18885,19251,19986,19929,20605,21117
NUTS3,UKJ36,Central Hampshire,13465,13733,14213,15263,15808,16237,16385,17139,17830,18554,19529,20154,20535,20611,21029,21972,22344,22912,24285,24725,25321,26302
NUTS3,UKJ37,North Hampshire,13917,14017,14383,15268,15643,16121,16211,16845,17240,17685,18618,19098,19470,19489,19700,20605,21426,21901,23266,23226,23899,25364
NUTS2,UKJ4,Kent,11580,11643,12111,12921,13364,13773,13921,14529,15056,15571,16324,16694,17136,17297,17534,18109,18708,19205,20084,20395,20931,21655
NUTS3,UKJ41,Medway,10828,10669,11109,11740,12153,12514,12657,13271,13717,14120,14828,15135,15632,15727,15949,16275,16544,16952,17786,18138,18439,18885
NUTS3,UKJ43,Kent Thames Gateway,10698,10803,11305,11980,12378,12901,13107,13589,14003,14467,15193,15498,15940,16086,16297,16803,17323,17776,18537,19095,19858,20598
NUTS3,UKJ44,East Kent,9061,9308,9832,10549,11049,11548,11744,12276,12864,13343,14065,14483,15177,15408,15751,16319,16867,17277,17976,18241,18710,19379
NUTS3,UKJ45,Mid Kent,12687,12776,13220,14100,14582,14830,14956,15584,16067,16547,17273,17623,17914,18052,18193,18799,19502,19926,20506,20946,21523,22196
NUTS3,UKJ46,West Kent,15797,15708,16099,17268,17662,18000,18063,18880,19507,20207,21068,21481,21613,21758,21957,22783,23709,24518,26068,26078,26625,27655
NUTS1,UKK,South West,11134,11380,11796,12368,12777,13029,13327,13770,14350,15087,15662,16164,16310,16629,16958,17376,17941,18530,19278,19430,19912,20907
