NUTS level,NUTS code,Region name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
NUTS2,UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",11574,11795,12312,12971,13335,13544,13815,14232,14838,15570,16145,16643,16719,16988,17343,17796,18478,19181,20059,20239,20718,21794
NUTS3,UKK11,"Bristol, City of",10380,10507,10939,11667,12118,12283,12532,12934,13124,13725,14402,14788,14779,15193,15581,15817,16364,16955,17764,18276,18881,19692
NUTS3,UKK12,"Bath and North East Somerset, North Somerset and South Gloucestershire",12108,12488,13083,13406,13536,13705,14138,14447,15056,15933,16538,17215,17229,17481,17874,18422,19107,19737,20998,20990,21453,22625
NUTS3,UKK13,Gloucestershire,11763,11945,12435,13157,13594,13683,13768,14410,15390,16161,16677,17256,17386,17681,17958,18462,19234,20176,20896,20996,21461,22553
NUTS3,UKK14,Swindon,11185,11549,12179,12888,13427,13897,14056,14237,14636,15146,15498,15777,16108,15998,16274,16666,17068,17726,18287,18741,19111,19804
NUTS3,UKK15,Wiltshire,11848,11923,12388,13339,13774,14116,14465,14860,15464,16156,16772,17120,17192,17494,17908,18402,19224,19853,20621,20732,21182,22522
NUTS2,UKK2,Dorset and Somerset,11353,11703,12130,12687,13153,13320,13752,14249,14814,15662,16245,16710,16637,17118,17507,17868,18393,19006,19728,19754,20300,21417
NUTS3,UKK21,Bournemouth and Poole,11422,11647,12266,13046,13418,13614,13900,14458,15055,15807,16477,16752,16375,16701,16977,17318,17986,18383,19374,19444,19981,21334
NUTS3,UKK22,Dorset CC,11761,12248,12615,13176,13631,13882,14364,14749,15306,16297,16840,17336,17347,17871,18438,18923,19512,20214,20886,20949,21529,22763
NUTS3,UKK23,Somerset,10987,11308,11666,12081,12618,12701,13183,13733,14285,15076,15639,16196,16243,16789,17112,17394,17782,18465,19057,19031,19559,20441
NUTS2,UKK3,Cornwall and Isles of Scilly,9895,10142,10261,10832,11421,11814,12036,12465,12958,13589,14190,14555,14895,15300,15683,16065,16327,16699,17190,17542,17966,18568
NUTS3,UKK30,Cornwall and Isles of Scilly,9895,10142,10261,10832,11421,11814,12036,12465,12958,13589,14190,14555,14895,15300,15683,16065,16327,16699,17190,17542,17966,18568
NUTS2,UKK4,Devon,10576,10755,11091,11509,11867,12237,12474,12917,13498,14172,14717,15329,15769,15967,16145,16574,17077,17506,18129,18264,18716,19588
NUTS3,UKK41,Plymouth,9261,9511,9810,10380,10570,10805,11128,11477,11748,12195,12742,13145,13436,14089,14269,14451,14809,15195,15653,15719,16517,17555
NUTS3,UKK42,Torbay,10011,10084,10483,11292,11300,11497,11832,12246,12994,13562,13870,14524,14849,15167,15397,15820,16282,16842,17144,17527,18041,18412
NUTS3,UKK43,Devon CC,11154,11316,11649,11938,12414,12862,13051,13530,14187,14957,15543,16218,16729,16750,16919,17432,17989,18409,19137,19248,19567,20461
NUTS1,UKL,Wales,9436,9501,9937,10616,10982,11338,11727,12160,12506,12912,13318,13838,13842,14079,14372,14832,15053,15458,15897,15906,16386,17100
NUTS2,UKL1,West Wales and The Valleys,9207,9268,9628,10209,10613,10936,11294,11723,12101,12462,12844,13364,13411,13599,13863,14359,14605,14967,15344,15334,15728,16387
NUTS3,UKL11,Isle of Anglesey,9643,9998,10142,10706,10805,11126,11670,12236,12498,12569,13231,14005,14269,14611,15013,15395,15873,16074,16491,16559,16980,17613
NUTS3,UKL12,Gwynedd,8920,8957,9477,9834,10420,10893,11054,11682,12128,12812,13034,13172,13390,13606,13750,14071,14373,14805,15209,15142,15464,16249
NUTS3,UKL13,Conwy and Denbighshire,10380,10447,10657,11207,11567,12015,12359,12846,13509,13664,13983,14616,14559,14800,15307,15816,15934,16325,16661,16543,16920,17572
NUTS3,UKL14,South West Wales,9137,9247,9521,9646,10047,10521,11002,11389,12058,12796,13039,13666,13823,14125,14501,15036,15242,15577,15924,15890,16344,16964
NUTS3,UKL15,Central Valleys,8151,8040,8437,9230,9822,10275,10519,11019,11444,11713,12179,12525,12530,12809,12925,13352,13610,13905,14321,14414,14984,15796
NUTS3,UKL16,Gwent Valleys,8869,8884,9412,10257,10442,10633,11102,11487,11609,11666,12174,12486,12392,12626,13091,13646,13924,14108,14612,14829,15151,15587
NUTS3,UKL17,Bridgend and Neath Port Talbot,9788,9875,10135,11011,11283,11243,11583,11970,12237,12601,13107,13523,13514,13668,13701,14259,14647,14990,15384,15357,15808,16616
NUTS3,UKL18,Swansea,9490,9638,10070,10515,11192,11520,11743,12065,12156,12563,12789,13786,13923,13686,13737,14216,14312,15055,15254,14967,15130,15755
NUTS2,UKL2,East Wales,9845,9915,10483,11330,11630,12044,12485,12925,13213,13698,14140,14658,14584,14903,15243,15639,15815,16295,16837,16875,17499,18301
NUTS3,UKL21,Monmouthshire and Newport,9913,9877,10595,11651,12021,12576,12840,13041,13466,13972,14817,15299,14880,15090,15604,16182,16202,16839,17378,17575,18142,18896
NUTS3,UKL22,Cardiff and Vale of Glamorgan,10022,10237,10783,11433,11744,12204,12705,13091,13243,13830,14161,14698,14743,15016,15219,15469,15582,16004,16524,16430,17019,17690
NUTS3,UKL23,Flintshire and Wrexham,9773,9790,10237,11229,11434,11718,12206,12720,13026,13326,13678,14113,14074,14422,14902,15334,15760,16297,16991,17148,17844,18840
NUTS3,UKL24,Powys,9281,9156,9805,10638,10987,11275,11720,12597,13071,13561,13871,14561,14607,15205,15426,15937,16077,16364,16660,16644,17339,18295
NUTS1,UKM,Scotland,9773,10022,10398,11120,11597,12077,12426,12985,13470,14070,14858,15466,15667,15897,16259,16767,17300,17700,18186,18230,18617,19572
NUTS2,UKM5,North Eastern Scotland,11099,11302,11231,12065,12652,13145,13380,14304,15389,16161,17249,18105,18477,18853,19758,20478,21634,22137,22024,20780,20628,21648
NUTS3,UKM50,Aberdeen City and Aberdeenshire,11099,11302,11231,12065,12652,13145,13380,14304,15389,16161,17249,18105,18477,18853,19758,20478,21634,22137,22024,20780,20628,21648
NUTS2,UKM6,Highlands and Islands,8921,9118,9337,9905,10387,10871,11061,11495,11941,12904,13670,15119,15565,15921,15943,16626,17112,17404,18008,18119,18423,19341
NUTS3,UKM61,Caithness and Sutherland and Ross and Cromarty,9771,9998,10295,10787,11299,11920,12050,12386,12968,13820,14108,14755,15398,15722,16256,17161,17885,17730,18375,18462,18850,19683
NUTS3,UKM62,"Inverness and Nairn and Moray, Badenoch and Strathspey",8951,9113,9414,9817,10240,10574,10724,11062,11293,12501,13434,15713,15764,16128,15816,16547,17107,17544,18081,18120,18539,19537
NUTS3,UKM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",8268,8466,8437,9405,10049,10766,11031,11529,12211,13156,13850,14860,15490,15812,15798,16344,16525,16731,17347,17723,17876,18760
NUTS3,UKM64,Na h-Eileanan Siar,8688,8946,8959,9409,10012,10595,10862,11254,11883,11565,12784,13300,13814,14296,14530,14742,14982,15512,16728,16588,16941,17931
NUTS3,UKM65,Orkney Islands,7974,8664,9293,8989,9538,9855,9965,11026,11337,12406,13880,14809,15804,16422,17196,17789,18044,18056,18005,18035,18110,18783
NUTS3,UKM66,Shetland Islands,9380,9216,9516,10737,10614,10715,11134,11951,12458,13388,13910,15199,16774,16950,16914,17503,18228,19393,20226,20264,20049,20890
NUTS2,UKM7,Eastern Scotland,10210,10524,10962,11682,12205,12677,13108,13729,14136,14738,15527,16008,16087,16264,16755,17287,17809,18174,18702,18883,19440,20448
NUTS3,UKM71,Angus and Dundee City,9388,9568,9915,10696,11280,11827,11962,12383,12490,12958,13798,14690,14669,14565,14926,15309,16015,16457,16829,16995,17177,18103
NUTS3,UKM72,Clackmannanshire and Fife,9112,9468,9798,10436,10793,11347,11703,12244,12566,12648,13669,14311,14586,14824,15053,15530,16156,16484,17118,17316,17796,18751
NUTS3,UKM73,East Lothian and Midlothian,10094,10365,10895,11446,11657,12003,12988,13940,14628,15150,15857,16468,16668,17353,17716,18066,18995,19528,19999,19859,20751,21864
NUTS3,UKM75,City of Edinburgh,12195,12633,13262,14084,14726,15357,15731,16256,16862,17754,18229,18600,18723,18846,19499,20255,20496,20826,21457,21619,22225,23374
NUTS3,UKM76,Falkirk,8788,8983,9613,10053,10631,11066,11538,12019,12477,13160,13946,14478,14313,14225,14789,15456,15822,15946,16361,16745,17232,18369
NUTS3,UKM77,Perth and Kinross and Stirling,11343,11585,11581,12275,12987,12979,13536,14817,15217,16275,16905,17097,17143,17243,18174,18583,19031,19276,19709,19873,20558,21561
NUTS3,UKM78,West Lothian,8498,8828,9482,10499,11038,11615,12103,12415,12615,13301,14582,14552,14293,14627,14901,15343,15858,16405,16836,17126,17732,18267
NUTS2,UKM8,West Central Scotland,9398,9607,10147,10914,11352,11756,12080,12430,12852,13350,14079,14576,14755,14828,15008,15439,15815,16267,16824,17049,17432,18359
NUTS3,UKM81,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",9449,9743,10865,11777,12088,12605,12843,13259,13918,14585,15186,15944,16212,16574,16879,17456,17692,17949,18779,18989,19621,20853
NUTS3,UKM82,Glasgow City,9054,9242,9722,10435,10827,11320,11739,12041,12265,12816,13607,13852,14057,14004,14134,14524,14735,15172,15547,15914,16340,17145
NUTS3,UKM83,"Inverclyde, East Renfrewshire and Renfrewshire",10487,10683,11124,11960,12595,12779,13040,13412,13957,14550,15183,15893,16083,16121,16246,16733,17400,17767,18666,18596,18780,19730
NUTS3,UKM84,North Lanarkshire,8811,9006,9346,10027,10430,10839,11122,11495,11982,12178,13002,13553,13631,13784,14042,14404,14869,15564,15937,16234,16597,17541
NUTS2,UKM9,Southern Scotland,9302,9535,9808,10472,10870,11475,11840,12488,12952,13441,14172,14666,14930,15363,15635,16002,16489,16862,17389,17505,17866,18745
NUTS3,UKM91,Scottish Borders,9607,10014,10223,10989,11365,11827,12711,13443,14007,14641,15298,15924,16244,16676,16978,16971,17691,18588,18964,19285,19571,20243
NUTS3,UKM92,Dumfries and Galloway,9382,9607,9786,10298,10569,11053,11447,12031,12206,12891,13734,14510,15062,15283,15471,15989,16388,16776,17362,17651,17799,18482
NUTS3,UKM93,East Ayrshire and North Ayrshire mainland,8459,8554,8707,9457,10070,10647,10966,11589,11985,12394,13185,13398,13628,14184,14341,14613,15306,15646,16067,16038,16422,17316
NUTS3,UKM94,South Ayrshire,9630,9826,10243,10803,11443,11931,12614,13302,13652,14426,14817,15502,15820,16301,16732,17339,17806,18108,18425,18647,18793,19825
NUTS3,UKM95,South Lanarkshire,9735,10039,10426,11093,11290,12070,12154,12808,13471,13770,14546,15012,15124,15545,15881,16300,16581,16809,17521,17556,18095,19072
NUTS1,UKN,Northern Ireland,8717,8765,9105,9652,9876,10461,10898,11479,12113,12685,13009,13235,13382,13597,13962,14218,14769,15218,15694,15910,16556,17340
NUTS2,UKN0,Northern Ireland,8717,8765,9105,9652,9876,10461,10898,11479,12113,12685,13009,13235,13382,13597,13962,14218,14769,15218,15694,15910,16556,17340
NUTS3,UKN06,Belfast,9881,9984,10299,10888,11103,11593,11667,12003,12290,12785,12945,13533,13817,13948,14144,14422,14962,15142,15409,15437,15950,16706
NUTS3,UKN07,"Armagh City, Banbridge and Craigavon",8579,8646,8976,9282,9544,10130,10586,11306,11934,12693,13154,13281,13291,13594,13894,13905,14626,15406,15799,15613,16275,17037
NUTS3,UKN08,"Newry, Mourne and Down",8422,8520,8835,9310,9454,10001,10558,11174,12026,12701,12931,13066,13119,13281,13754,13873,14364,14770,14826,15084,15742,16535
NUTS3,UKN09,Ards and North Down,9537,9570,9910,10547,10794,11446,11812,12283,12890,13476,13985,14387,14523,14735,15138,15482,16145,16410,16802,17268,18245,19160
NUTS3,UKN10,Derry City and Strabane,7029,7044,7397,7768,8140,8911,9500,10203,11134,11645,11805,11795,12018,12415,12794,13092,13534,13959,14052,14259,14666,15348
NUTS3,UKN11,Mid Ulster,7719,7780,8159,8615,8756,9206,9973,10801,11518,12091,12312,12207,12218,12433,12868,12977,13472,14165,14704,15161,16082,16859
NUTS3,UKN12,Causeway Coast and Glens,7067,7047,7395,7861,8360,9131,9628,10218,11188,11730,11829,11716,12100,12520,13131,13326,13783,14279,15361,15943,16794,17723
NUTS3,UKN13,Antrim and Newtownabbey,9330,9342,9703,10495,10651,11265,11664,12225,12718,13221,13828,14175,14257,14347,14802,15210,15791,16305,16550,16347,16677,17213
NUTS3,UKN14,Lisburn and Castlereagh,9403,9394,9797,10708,10942,11538,12012,12550,13140,13561,14168,14489,14568,14715,14979,15535,16259,16686,17898,18460,19030,20011
NUTS3,UKN15,Mid and East Antrim,9250,9307,9619,10347,10329,10953,11424,12014,12568,13210,13718,14054,14190,14335,14689,15105,15687,16354,16962,17085,17745,18577
NUTS3,UKN16,Fermanagh and Omagh,7649,7716,8111,8433,8688,9141,9942,10776,11588,12210,12394,12360,12429,12641,13027,13224,13481,13822,14685,15232,15916,16569
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 Provisional.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
